SMILES,Vina
CN1C=C(C=N1)S(=O)(=O)N2CCC3=CC4=C(CC3(C2)C(=O)C5=NC=CC(=C5)C(F)(F)F)C=NN4C6=CC=C(C=C6)F,-8.6
CC1=NC(=C(S1)C2=CC=C(C=C2)F)C(=O)N3CCCCC3CNC(=O)C4=C5C=COC5=CC=C4,-8.6
CS(=O)(=O)NC1=CC2=C(C=C1)NC(=NS2(=O)=O)C3=C(C4C5CCC(C5)C4N(C3=O)CC6=CC=C(C=C6)F)O,-8.6
COC1=C(C=CC(=C1)C2C(OC3=C(O2)C=C(C=C3)C4C(C(=O)C5=C(C=C(C=C5O4)O)O)O)CO)O,-8.6
CC1=C(C=CC2=C1N=C(C=C2OC3CC4C(C3)C(=O)N(CCCCC=CC5CC5(NC4=O)C(=O)NS(=O)(=O)C6CC6)C)C7=NC(=CS7)C(C)C)OC,-8.6
CN1CCN(CC1)C2=NC3=CC=CC=C3C(=N2)C4=C(C(=O)NC4=O)C5=CNC6=CC=CC=C65,-8.6
CC1CCN(CCN1C(=O)C2=C(C=CC(=C2)C)N3N=CC=N3)C4=NC5=C(O4)C=CC(=C5)Cl,-8.6
CC(C(CC1=CC=C(C=C1)Cl)C2=CC=CC(=C2)C#N)NC(=O)C(C)(C)OC3=NC=C(C=C3)C(F)(F)F,-8.6
CC1CC2C3CCC4=CC(=O)C=CC4(C3=CCC2(C1C(=O)CN5CCN(CC5)C6=NC(=NC(=C6)N7CCCC7)N8CCCC8)C)C,-8.6
CC1=C2C(=O)NC3(N2C(=O)C(=C1)NC4=NC=NC(=C4)N)CCCCC3,-8.6
CC(C)(C1CCC(CC1)NC2=NN3C(=NC=C3C4=CC(=CC=C4)C(F)(F)F)C=C2)O,-8.6
CC1(OC2CC3C4CCC5=CC(=O)C=CC5(C4(C(CC3(C2(O1)C(=O)COC(=O)C6=CC7=CC=CC=C7O6)C)O)F)C)C,-8.6
C1CN(CCN1C2=NN=C(C=C2C3=CC=NC=C3)C4=CC=CC=C4)C5=NC=CC=N5,-8.6
C1COCCN1C2=NC(=NC(=N2)N3C4=CC=CC=C4N=C3C(F)F)N5CCOCC5,-8.6
C1C(=NOC1(C2=CC(=CC(=C2)Cl)C(F)(F)F)C(F)(F)F)C3=CC=C(C4=CC=CC=C43)C(=O)NCC(=O)NCC(F)(F)F,-8.5
C1=CC=C2C(=C1)C(=CC=C2S(=O)(=O)[O-])N=NC3=C4C=CC(=CC4=CC(=C3O)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+],-8.5
CC(C)N1C=C2CC3C(CC(CN3C)C(=O)NC4CCCCC4)C5=C2C1=CC=C5,-8.5
C1=CC=C2C(=C1)C=CC3=C2C=CC(=C3)C4=CC(=NN4C5=CC=C(C=C5)NC(=O)CN)C(F)(F)F,-8.5
CC1=CN2C(=O)C=C(N=C2C(=C1)C(C)NC3=CC=CC=C3C(=O)O)N4CCOCC4,-8.5
CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)O)O)(C(=O)C)O)N)O,-8.5
CC(C)OCC1=CC2=C(C=C1)N(C3=C2C4=C(C5=C3CC6=CC=CC=C65)C(=O)NC4)CCCO,-8.5
CN1CCC2=CC3=C(C4=C2C1CC5=CC=C(C=C5)OC6=C(C=CC(=C6)CC7C8=CC(=C(C=C8CCN7C)OC)O4)OC)OCO3,-8.5
